Flow ID,Source,Destination,Data Type,Encryption,Purpose,Retention
DF-01,User Device,Voice Processing Service,Voice audio (PCM),TLS 1.3 + E2E,Voice command capture,Immediate deletion after processing
DF-02,Voice Processing Service,NLP Engine,Transcribed text,Internal TLS,Intent recognition,30 days for quality improvement
DF-03,Authentication Service,Ügyfélkapu Gateway,User credentials,TLS 1.3 + mutual TLS,Identity verification,Session only
DF-04,API Gateway,NAV Online Számla,Invoice XML,TLS 1.3 + digital signature,Invoice submission,8 years (legal requirement)
DF-05,NAV Database,eVAT System,VAT transaction data,Encrypted channel,Pre-filled VAT returns,10 years (legal requirement)
DF-06,Application Service,Audit Log Storage,User activity logs,AES-256,Compliance and security monitoring,6 years (GDPR + Hungarian law)
DF-07,Voice Biometric Service,User Profile DB,Voice embeddings (hashed),AES-256-GCM,Authentication comparison,Until user deletion + 30 days
DF-08,API Gateway,Rate Limiter,Request metadata,Internal,DDoS protection,24 hours
DF-09,Monitoring Service,SIEM Platform,Security events,TLS 1.3,Threat detection,1 year
DF-10,User Device,CDN,Static assets,TLS 1.3,Application delivery,Cached 30 days
